"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"United States",,0,1597,0.002395,0.011178,0.021739,104443285
2019-09-30,"New York, NY","NY",1,2289,0.002508,0.007905,0.01016,5482247
2019-09-30,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2612,0.002877,0.008136,0.004216,3225609
2019-09-30,"Chicago, IL","IL",3,1620,0.002816,0.013633,0.028302,2940925
2019-09-30,"Dallas-Fort Worth, TX","TX",4,1444,0.00222,0.008644,0.017046,2319996
2019-09-30,"Philadelphia, PA","PA",5,1502,0.002999,0.014052,0.032951,2105833
2019-09-30,"Houston, TX","TX",6,1379,0.000656,0.004779,0.00036,2104071
2019-09-30,"Washington, DC","DC",7,1983,0.004162,0.017024,0.027951,2081935
2019-09-30,"Miami-Fort Lauderdale, FL","FL",8,1856,0.001854,0.005821,0.027668,2729016
2019-09-30,"Atlanta, GA","GA",9,1459,0.003229,0.014102,0.046163,2212391
2019-09-30,"Boston, MA","MA",10,2429,0.005739,0.025691,0.046653,1671394
2019-09-30,"San Francisco, CA","CA",11,3168,0.000641,0.005767,0.017119,1615676
2019-09-30,"Detroit, MI","MI",12,1222,0.00649,0.024267,0.032029,1612756
2019-09-30,"Riverside, CA","CA",13,1913,0.002009,0.00689,0.034318,1350407
2019-09-30,"Phoenix, AZ","AZ",14,1416,0.007275,0.026226,0.061885,1684072
2019-09-30,"Seattle, WA","WA",15,2043,0.003801,0.018699,0.025002,1314051
2019-09-30,"Minneapolis-St Paul, MN","MN",16,1497,0.0015,0.010347,0.014987,1190483
2019-09-30,"San Diego, CA","CA",17,2527,0.003193,0.015655,0.034213,908700
2019-09-30,"St. Louis, MO","MO",18,1010,0.002143,0.013517,0.017214,1022901
2019-09-30,"Tampa, FL","FL",19,1397,0.00294,0.011303,0.035959,1227587
2019-09-30,"Baltimore, MD","MD",20,1610,0.002351,0.008825,0.005054,958269
2019-09-30,"Denver, CO","CO",21,1782,0.001372,0.010111,0.018146,1025532
