"RegionID","RegionName","RegionType","SizeRank","ZriForecast","Forecast_YoY_Change","Current_YoY_Change"
102001,"United States","Country",0,1629,0.0200375704445837,0.0217530390275111
394913,"New York, NY","Msa",1,2352,0.0275229357798166,0.0101500441306266
753899,"Los Angeles-Long Beach-Anaheim, CA","Msa",2,2663,0.0195252679938744,0.00422914263744723
394463,"Chicago, IL","Msa",3,1650,0.0185185185185186,0.0279187817258884
394514,"Dallas-Fort Worth, TX","Msa",4,1486,0.0290858725761773,0.0169014084507042
394974,"Philadelphia, PA","Msa",5,1527,0.0166444740346205,0.0330123796423658
394692,"Houston, TX","Msa",6,1386,0.0050761421319796,0
395209,"Washington, DC","Msa",7,2022,0.0196671709531013,0.0279937791601865
394856,"Miami-Fort Lauderdale, FL","Msa",8,1894,0.0204741379310345,0.0276854928017718
394347,"Atlanta, GA","Msa",9,1517,0.0397532556545579,0.0458781362007168
394404,"Boston, MA","Msa",10,2496,0.0275833676410044,0.046531667384748
395057,"San Francisco, CA","Msa",11,3250,0.0258838383838385,0.0170144462279294
394532,"Detroit, MI","Msa",12,1252,0.0245499181669395,0.0320945945945945
395025,"Riverside, CA","Msa",13,1968,0.0287506534239415,0.0340540540540542
394976,"Phoenix, AZ","Msa",14,1509,0.0656779661016949,0.0622655663915979
395078,"Seattle, WA","Msa",15,2113,0.0342633382280959,0.0250878073256398
394865,"Minneapolis-St Paul, MN","Msa",16,1536,0.0260521042084167,0.0149152542372881
395056,"San Diego, CA","Msa",17,2630,0.0407597942223981,0.0339607201309329
395121,"St. Louis, MO","Msa",18,1031,0.0207920792079208,0.0171198388721048
395148,"Tampa, FL","Msa",19,1444,0.0336435218324982,0.0363501483679525
394358,"Baltimore, MD","Msa",20,1623,0.00807453416149073,0.00499375780274658
394530,"Denver, CO","Msa",21,1852,0.0392817059483725,0.0177041690462594
394982,"Pittsburgh, PA","Msa",22,1096,-0.000911577028258836,0.0148011100832564
394998,"Portland, OR","Msa",23,1724,0.0373044524669073,0.000602046959662816
394458,"Charlotte, NC","Msa",24,1378,0.0345345345345345,0.0447058823529412
395045,"Sacramento, CA","Msa",25,1890,0.0505836575875487,0.0428985507246378
395055,"San Antonio, TX","Msa",26,1243,0.022203947368421,0.00996677740863783
394943,"Orlando, FL","Msa",27,1479,0.0400843881856541,0.0371991247264771
394466,"Cincinnati, OH","Msa",28,1213,0.0474956822107082,0.0432432432432432
394475,"Cleveland, OH","Msa",29,1096,0.02143522833178,0.044790652385589
394735,"Kansas City, MO","Msa",30,1142,0.017825311942959,0.0190735694822888
394775,"Las Vegas, NV","Msa",31,1423,0.0619402985074626,0.0643367752184274
394492,"Columbus, OH","Msa",32,1215,0.0253164556962024,0.00851063829787235
394705,"Indianapolis, IN","Msa",33,1105,0.0100548446069471,0.0157845868152275
395059,"San Jose, CA","Msa",34,3439,0.0321128451380552,0.00331225534477575
394355,"Austin, TX","Msa",35,1650,0.0344827586206897,0.0296965784377017
395194,"Virginia Beach, VA","Msa",36,1368,0.0201342281879195,0.0197718631178707
394902,"Nashville, TN","Msa",37,1469,0.0159059474412171,0.021186440677966
395005,"Providence, RI","Msa",38,1455,0.0160614525139664,0.0272596843615496
394862,"Milwaukee, WI","Msa",39,1120,0.0294117647058822,0.0264150943396226
394714,"Jacksonville, FL","Msa",40,1390,0.0296296296296297,0.0400616332819723
394849,"Memphis, TN","Msa",41,1080,0.0275927687916271,0.0385375494071147
394935,"Oklahoma City, OK","Msa",42,951,0.0138592750533049,0.0229007633587786
394807,"Louisville-Jefferson County, KY","Msa",43,1117,0.0210237659963437,0.0350047303689687
394669,"Hartford, CT","Msa",44,1355,0.0134629768137622,0.0136467020470052
395022,"Richmond, VA","Msa",45,1361,0.0279456193353473,0.0223938223938225
394910,"New Orleans, LA","Msa",46,1306,0.0203125,0.0118577075098814
394425,"Buffalo, NY","Msa",47,1019,0.00493096646942792,0.0029673590504451
395012,"Raleigh, NC","Msa",48,1327,0.0286821705426357,0.0221870047543582
394388,"Birmingham, AL","Msa",49,1079,0.0198487712665407,0.0251937984496124
395053,"Salt Lake City, UT","Msa",50,1553,0.0325797872340425,0.0273224043715847
